Human	Papillomaviruses
P04637	Papillomaviruses:P06790
P04637	Papillomaviruses:P06463
P04637-1	Papillomaviruses:P06463
Q9NZN5	Papillomaviruses:P06463
Q15365	Papillomaviruses:P06790
P26045	Papillomaviruses:P06463
O60885	Papillomaviruses:P06790
P60468	Papillomaviruses:P06792
Q9P0L0	Papillomaviruses:P06792
Q14318	Papillomaviruses:P06792
Q08999	Papillomaviruses:P06788
P07858	Papillomaviruses:P06463
P04114	Papillomaviruses:P06792
P27824	Papillomaviruses:P06792
Q15629	Papillomaviruses:P06792
Q9UNK0	Papillomaviruses:P06788
Q9P0J7	Papillomaviruses:P06788
Q86WV6	Papillomaviruses:P06788
P30519	Papillomaviruses:P06792
P19388	Papillomaviruses:P06788
P06400	Papillomaviruses:P06788
Q05086	Papillomaviruses:P06463
Q9NP72	Papillomaviruses:P06792
Q9BXK5	Papillomaviruses:P06790
Q9BXK5	Papillomaviruses:P06792
Q12933	Papillomaviruses:P06788
P46939	Papillomaviruses:P06463
Q16611	Papillomaviruses:P06463
P20248	Papillomaviruses:P06788
O14828	Papillomaviruses:P06792
Q9HCU5	Papillomaviruses:P06792
P24941	Papillomaviruses:P06788
O75955	Papillomaviruses:P06463
O75947	Papillomaviruses:P06792
P50991	Papillomaviruses:P06788
Q9Y230	Papillomaviruses:P06463
O00264	Papillomaviruses:P06792
P49755	Papillomaviruses:P06792
P49755	Papillomaviruses:P06788
Q7L5N1	Papillomaviruses:P06463
Q92616	Papillomaviruses:P06463
Q92616	Papillomaviruses:P06792
Q16891	Papillomaviruses:P06792
O15258	Papillomaviruses:P06792
O95251	Papillomaviruses:P06790
Q99623	Papillomaviruses:P06792
P21964	Papillomaviruses:P06792
Q8NEW0	Papillomaviruses:P06792
Q5VTE0	Papillomaviruses:P06788
Q15392	Papillomaviruses:P06792
Q14204	Papillomaviruses:P06463
Q01094	Papillomaviruses:P06788
P50402	Papillomaviruses:P06792
P06733	Papillomaviruses:P06788
P06733	Papillomaviruses:P06463
Q09472	Papillomaviruses:P06790
Q09472	Papillomaviruses:P06463
P33897	Papillomaviruses:P06792
Q14289	Papillomaviruses:P06790
Q9Y678	Papillomaviruses:P06463
Q13049	Papillomaviruses:P06788
O94919	Papillomaviruses:P06792
Q9BS26	Papillomaviruses:P06463
O75369	Papillomaviruses:P06788
Q96CS3	Papillomaviruses:P06792
Q5T4S7	Papillomaviruses:P06788
Q9Y6C9	Papillomaviruses:P06792
Q06136	Papillomaviruses:P06792
Q6DD88	Papillomaviruses:P06792
Q9Y2S7	Papillomaviruses:P06790
Q9UJY5	Papillomaviruses:P06790
Q8WWY3	Papillomaviruses:P06790
Q13227	Papillomaviruses:P06463
Q13227	Papillomaviruses:P06790
P30101	Papillomaviruses:P06463
P30101	Papillomaviruses:P06792
P61619	Papillomaviruses:P06792
Q96G23	Papillomaviruses:P06792
Q9UJZ1	Papillomaviruses:P06792
P10321	Papillomaviruses:P06463
P05204	Papillomaviruses:P06788
P22736	Papillomaviruses:P06790
P04792	Papillomaviruses:P06790
P25685	Papillomaviruses:P06788
P27816	Papillomaviruses:P06463
P33993	Papillomaviruses:P06463
P01106	Papillomaviruses:P06788
P55209	Papillomaviruses:P06790
O96000	Papillomaviruses:P06463
O00217	Papillomaviruses:P06463
P05023	Papillomaviruses:P06792
P16615	Papillomaviruses:P06792
P16615	Papillomaviruses:P06463
Q8TED1	Papillomaviruses:P06792
P07237	Papillomaviruses:P06788
Q71UM5	Papillomaviruses:P06788
Q71UM5	Papillomaviruses:P06463
Q71UM5	Papillomaviruses:P06792
Q53GQ0	Papillomaviruses:P06792
Q9P035	Papillomaviruses:P06792
P24539	Papillomaviruses:P06792
Q8N6T7	Papillomaviruses:P06463
Q9Y3D0	Papillomaviruses:P06463
Q9UBS4	Papillomaviruses:P06788
Q01813	Papillomaviruses:P06463
P18859	Papillomaviruses:P06792
O00469	Papillomaviruses:P06463
P48047	Papillomaviruses:P06792
Q15165	Papillomaviruses:P06792
Q9NX40	Papillomaviruses:P06792
Q9NVV0	Papillomaviruses:P06792
P63151	Papillomaviruses:P06463
P25789	Papillomaviruses:P06463
P60900	Papillomaviruses:P06463
Q9NQT4	Papillomaviruses:P06463
P28070	Papillomaviruses:P06463
P62191	Papillomaviruses:P06463
P35998	Papillomaviruses:P06463
P43686	Papillomaviruses:P06463
P62195	Papillomaviruses:P06463
P62333	Papillomaviruses:P06463
O43242	Papillomaviruses:P06463
P55036	Papillomaviruses:P06463
Q9NQC3	Papillomaviruses:P06792
O00231	Papillomaviruses:P06463
O00232	Papillomaviruses:P06463
Q969X5	Papillomaviruses:P06792
Q7Z434	Papillomaviruses:P06792
P28288	Papillomaviruses:P06792
P35250	Papillomaviruses:P06463
P42677	Papillomaviruses:P06463
P42677	Papillomaviruses:P06788
Q15758	Papillomaviruses:P06792
P08195	Papillomaviruses:P06792
Q16637-1	Papillomaviruses:P06790
P49458	Papillomaviruses:P06788
P51571	Papillomaviruses:P06792
O15260	Papillomaviruses:P06463
O15260	Papillomaviruses:P06792
O15533	Papillomaviruses:P06792
Q07021	Papillomaviruses:P06790
Q99442	Papillomaviruses:P06792
O00463	Papillomaviruses:P06788
Q16831	Papillomaviruses:P06788
P08670	Papillomaviruses:P06463
Q13724	Papillomaviruses:P06792
Q9BTV4	Papillomaviruses:P06792
Q9BZK7	Papillomaviruses:P06463
Q9H840	Papillomaviruses:P06463
Q8TCT9	Papillomaviruses:P06792
P51784	Papillomaviruses:P06788
Q14790	Papillomaviruses:P06790
O60814	Papillomaviruses:P06788
Q13769	Papillomaviruses:P06463
P35520	Papillomaviruses:P06788
Q8IZ07	Papillomaviruses:P06463
Q92831	Papillomaviruses:P06790
O95714	Papillomaviruses:P06463
Q8IYS2	Papillomaviruses:P06792
O95817	Papillomaviruses:P06463
P08962	Papillomaviruses:P06463
O94842	Papillomaviruses:P06788
O94842	Papillomaviruses:P06790
Q9Y4E8	Papillomaviruses:P06463
A0A087WUZ3	Papillomaviruses:P06788
A0A0A0MT60	Papillomaviruses:P06463
A0A0C4DG91	Papillomaviruses:P06463
A0A0C4DGB5	Papillomaviruses:P06788
A0A0C4DGQ5	Papillomaviruses:P06788
A0A0U1RQC9	Papillomaviruses:P06463
A0A3B3ISF0	Papillomaviruses:P06463
A0A3B3IUB5	Papillomaviruses:P06788
A0FGR8	Papillomaviruses:P06792
A6NHB5	Papillomaviruses:P06788
B1AHL2	Papillomaviruses:P06463
B4E2Q0	Papillomaviruses:P06788
B7Z4C8	Papillomaviruses:P06788
B9EGL1	Papillomaviruses:P06463
E7EQB3	Papillomaviruses:P06463
E7EUS2	Papillomaviruses:P06463
E9PD50	Papillomaviruses:P06788
E9PF18	Papillomaviruses:P06788
F8WB74	Papillomaviruses:P06788
G5E975	Papillomaviruses:P06789
H3BLV9	Papillomaviruses:P06463
H3BST1	Papillomaviruses:P06788
I3L0L0	Papillomaviruses:P06463
J3KPF3	Papillomaviruses:P06463
J3QQ67	Papillomaviruses:P06788
M0QXF9	Papillomaviruses:P06463
O00203	Papillomaviruses:P06788
O00308	Papillomaviruses:P06790
O00391	Papillomaviruses:P06792
O00483	Papillomaviruses:P06792
O00487	Papillomaviruses:P06463
O00767	Papillomaviruses:P06788
O14579	Papillomaviruses:P06788
O14735	Papillomaviruses:P06790
O14735	Papillomaviruses:P06792
O14907	Papillomaviruses:P06463
O14908	Papillomaviruses:P06463
O14909	Papillomaviruses:P06463
O14910	Papillomaviruses:P06463
O14924	Papillomaviruses:P06463
O14936	Papillomaviruses:P06463
O14957	Papillomaviruses:P06788
O15031	Papillomaviruses:P06792
O15127	Papillomaviruses:P06792
O15127	Papillomaviruses:P06463
O15173	Papillomaviruses:P06792
O15235	Papillomaviruses:P06788
O15269	Papillomaviruses:P06788
O15305	Papillomaviruses:P06790
O15321	Papillomaviruses:P06792
O15374	Papillomaviruses:P06792
O15427	Papillomaviruses:P06792
O15439	Papillomaviruses:P06792
O43166	Papillomaviruses:P06463
O43278	Papillomaviruses:P06463
O43292	Papillomaviruses:P06792
O43306	Papillomaviruses:P06792
O43759	Papillomaviruses:P06792
O43791	Papillomaviruses:P06790
O43889	Papillomaviruses:P06792
O43909	Papillomaviruses:P06788
O60291	Papillomaviruses:P06463
O60353	Papillomaviruses:P06792
O60664	Papillomaviruses:P06792
O60725	Papillomaviruses:P06792
O60831	Papillomaviruses:P06792
O75084	Papillomaviruses:P06792
O75095	Papillomaviruses:P06788
O75110	Papillomaviruses:P06792
O75396	Papillomaviruses:P06792
O75436	Papillomaviruses:P06463
O75438	Papillomaviruses:P06792
O75880	Papillomaviruses:P06463
O75964	Papillomaviruses:P06792
O75970	Papillomaviruses:P06463
O76050	Papillomaviruses:P06788
O94851	Papillomaviruses:P06792
O95190	Papillomaviruses:P06788
O95235	Papillomaviruses:P06790
O95235	Papillomaviruses:P06788
O95297	Papillomaviruses:P06792
O95425	Papillomaviruses:P06788
O95674	Papillomaviruses:P06792
O95864	Papillomaviruses:P06792
O95870	Papillomaviruses:P06792
O95967	Papillomaviruses:P06463
O96005	Papillomaviruses:P06792
P00156	Papillomaviruses:P06788
P00338	Papillomaviruses:P06463
P00403	Papillomaviruses:P06792
P00403	Papillomaviruses:P06788
P00505	Papillomaviruses:P06788
P00846	Papillomaviruses:P06792
P02538	Papillomaviruses:P06790
P03923	Papillomaviruses:P06788
P04083	Papillomaviruses:P06463
P04156	Papillomaviruses:P06788
P04632	Papillomaviruses:P06790
P04733	Papillomaviruses:P06788
P04733	Papillomaviruses:P06463
P04844	Papillomaviruses:P06792
P04920	Papillomaviruses:P06792
P07093	Papillomaviruses:P06792
P07199	Papillomaviruses:P06788
P08172	Papillomaviruses:P06792
P08240	Papillomaviruses:P06792
P08571	Papillomaviruses:P06788
P08779	Papillomaviruses:P06788
P09496	Papillomaviruses:P06790
P09543	Papillomaviruses:P06463
P09914	Papillomaviruses:P06789
P0DI83	Papillomaviruses:P06792
P0DP58	Papillomaviruses:P06463
P10074	Papillomaviruses:P06788
P10620	Papillomaviruses:P06792
P10644	Papillomaviruses:P06463
P10909	Papillomaviruses:P06792
P11166	Papillomaviruses:P06792
P11532	Papillomaviruses:P06463
P12110	Papillomaviruses:P06463
P12272	Papillomaviruses:P06788
P16144	Papillomaviruses:P06790
P17302	Papillomaviruses:P06792
P17676	Papillomaviruses:P06790
P17980	Papillomaviruses:P06463
P18031	Papillomaviruses:P06792
P19013	Papillomaviruses:P06463
P21731	Papillomaviruses:P06792
P21980	Papillomaviruses:P06788
P22692	Papillomaviruses:P06788
P23142-1	Papillomaviruses:P06463
P23219	Papillomaviruses:P06792
P23458	Papillomaviruses:P06463
P23510	Papillomaviruses:P06792
P23634	Papillomaviruses:P06792
P24864	Papillomaviruses:P06788
P25116	Papillomaviruses:P06792
P25445	Papillomaviruses:P06792
P26641	Papillomaviruses:P06790
P27105	Papillomaviruses:P06792
P28066	Papillomaviruses:P06463
P28300	Papillomaviruses:P06463
P28331	Papillomaviruses:P06792
P29074	Papillomaviruses:P06463
P29353	Papillomaviruses:P06788
P29597	Papillomaviruses:P06463
P30411	Papillomaviruses:P06792
P30559	Papillomaviruses:P06792
P30626	Papillomaviruses:P06788
P31689	Papillomaviruses:P06463
P31930	Papillomaviruses:P06788
P33527	Papillomaviruses:P06792
P35080	Papillomaviruses:P06463
P36542	Papillomaviruses:P06792
P39656	Papillomaviruses:P06792
P41247	Papillomaviruses:P06788
P42166	Papillomaviruses:P06792
P43003	Papillomaviruses:P06788
P46778	Papillomaviruses:P06788
P46977	Papillomaviruses:P06792
P47869	Papillomaviruses:P06788
P48060	Papillomaviruses:P06792
P48556	Papillomaviruses:P06463
P49715	Papillomaviruses:P06790
P49810	Papillomaviruses:P06792
P49848	Papillomaviruses:P06790
P50281	Papillomaviruses:P06792
P50416	Papillomaviruses:P06792
P50479	Papillomaviruses:P06788
P53365	Papillomaviruses:P06790
P53621	Papillomaviruses:P06788
P53621	Papillomaviruses:P06792
P53801	Papillomaviruses:P06792
P56385	Papillomaviruses:P06788
P57088	Papillomaviruses:P06792
P57105	Papillomaviruses:P06463
P61803	Papillomaviruses:P06792
P62081	Papillomaviruses:P06788
P62834	Papillomaviruses:P06792
P63010	Papillomaviruses:P06788
P67812	Papillomaviruses:P06792
P78352	Papillomaviruses:P06463
P78381	Papillomaviruses:P06792
P78385	Papillomaviruses:P06463
P84157	Papillomaviruses:P06792
P98194	Papillomaviruses:P06792
Q01650	Papillomaviruses:P06792
Q03135	Papillomaviruses:P06792
Q03519	Papillomaviruses:P06792
Q04864	Papillomaviruses:P06788
Q07817	Papillomaviruses:P06790
Q08722	Papillomaviruses:P06792
Q10472	Papillomaviruses:P06792
Q12797	Papillomaviruses:P06792
Q12846	Papillomaviruses:P06792
Q13287	Papillomaviruses:P06790
Q13424	Papillomaviruses:P06463
Q13425	Papillomaviruses:P06463
Q13432	Papillomaviruses:P06788
Q13443	Papillomaviruses:P06792
Q13563	Papillomaviruses:P06792
Q13572	Papillomaviruses:P06788
Q13751	Papillomaviruses:P06463
Q13796	Papillomaviruses:P06463
Q13829	Papillomaviruses:P06788
Q13884	Papillomaviruses:P06463
Q14160	Papillomaviruses:P06463
Q14165	Papillomaviruses:P06792
Q14186	Papillomaviruses:P06788
Q14192	Papillomaviruses:P06463
Q14332	Papillomaviruses:P06792
Q14376	Papillomaviruses:P06788
Q14393	Papillomaviruses:P06463
Q14393	Papillomaviruses:P06788
Q14439	Papillomaviruses:P06792
Q14533	Papillomaviruses:P06790
Q14699	Papillomaviruses:P06792
Q15006	Papillomaviruses:P06792
Q15008	Papillomaviruses:P06463
Q15012	Papillomaviruses:P06792
Q15038	Papillomaviruses:P06788
Q15361	Papillomaviruses:P06788
Q15678	Papillomaviruses:P06788
Q15700	Papillomaviruses:P06463
Q15942	Papillomaviruses:P06463
Q16254	Papillomaviruses:P06788
Q16512	Papillomaviruses:P06463
Q16563	Papillomaviruses:P06788
Q4G0F5	Papillomaviruses:P06463
Q4KMQ2	Papillomaviruses:P06792
Q53FP2	Papillomaviruses:P06792
Q567V2	Papillomaviruses:P06792
Q5BJH7	Papillomaviruses:P06792
Q5H8A4	Papillomaviruses:P06792
Q5HYI8	Papillomaviruses:P06792
Q5RI15	Papillomaviruses:P06792
Q5T160	Papillomaviruses:P06788
Q5T1Z8	Papillomaviruses:P06788
Q5T1Z8	Papillomaviruses:P06463
Q5T2W1	Papillomaviruses:P06463
Q5T5U3	Papillomaviruses:P06463
Q5T9L3	Papillomaviruses:P06792
Q5TCQ9	Papillomaviruses:P06463
Q5TFE4	Papillomaviruses:P06463
Q5VT06	Papillomaviruses:P06790
Q5VV42	Papillomaviruses:P06792
Q5VWQ8	Papillomaviruses:P06463
Q66K64	Papillomaviruses:P06788
Q66K74	Papillomaviruses:P06463
Q66K74	Papillomaviruses:P06788
Q66K74	Papillomaviruses:P06790
Q68CP9	Papillomaviruses:P06788
Q68DX3	Papillomaviruses:P06463
Q6IAA8	Papillomaviruses:P06792
Q6IAA8	Papillomaviruses:P06463
Q6ICM0	Papillomaviruses:P06788
Q6P0Q8	Papillomaviruses:P06463
Q6PIU2	Papillomaviruses:P06792
Q6PML9	Papillomaviruses:P06792
Q6UVK1	Papillomaviruses:P06792
Q6UW68	Papillomaviruses:P06792
Q6UWJ1	Papillomaviruses:P06792
Q6ZMN7	Papillomaviruses:P06463
Q6ZMU5	Papillomaviruses:P06788
Q6ZT21	Papillomaviruses:P06792
Q70UQ0	Papillomaviruses:P06792
Q7KZN9	Papillomaviruses:P06792
Q7Z6J9	Papillomaviruses:P06463
Q7Z7N9	Papillomaviruses:P06792
Q86SG4	Papillomaviruses:P06788
Q86U28	Papillomaviruses:P06788
Q86UL8	Papillomaviruses:P06463
Q86XP3	Papillomaviruses:P06788
Q86Y07	Papillomaviruses:P06463
Q8IUD6	Papillomaviruses:P06788
Q8IV08	Papillomaviruses:P06792
Q8IWI9	Papillomaviruses:P06790
Q8IWI9	Papillomaviruses:P06788
Q8IWX8	Papillomaviruses:P06788
Q8IXI2	Papillomaviruses:P06792
Q8IY17	Papillomaviruses:P06792
Q8IY26	Papillomaviruses:P06792
Q8IZ52	Papillomaviruses:P06463
Q8IZC6	Papillomaviruses:P06788
Q8IZQ1	Papillomaviruses:P06788
Q8N1B4	Papillomaviruses:P06790
Q8N2K0	Papillomaviruses:P06792
Q8N2W9	Papillomaviruses:P06790
Q8N3R9	Papillomaviruses:P06463
Q8N448	Papillomaviruses:P06788
Q8N448	Papillomaviruses:P06463
Q8N474	Papillomaviruses:P06788
Q8N4L2	Papillomaviruses:P06792
Q8N697	Papillomaviruses:P06792
Q8N6M3	Papillomaviruses:P06792
Q8NBJ9	Papillomaviruses:P06792
Q8NBM4	Papillomaviruses:P06792
Q8NBU5	Papillomaviruses:P06792
Q8NC54	Papillomaviruses:P06792
Q8NCP5	Papillomaviruses:P06788
Q8NEZ5	Papillomaviruses:P06790
Q8NHG7	Papillomaviruses:P06792
Q8NI35	Papillomaviruses:P06463
Q8TB61	Papillomaviruses:P06792
Q8TBC3	Papillomaviruses:P06788
Q8TC12	Papillomaviruses:P06792
Q8TCJ2	Papillomaviruses:P06792
Q8TEQ8	Papillomaviruses:P06792
Q8TEY7	Papillomaviruses:P06788
Q8TF32	Papillomaviruses:P06788
Q8WUY1	Papillomaviruses:P06792
Q8WVM8	Papillomaviruses:P06792
Q8WVQ1	Papillomaviruses:P06788
Q8WWH5	Papillomaviruses:P06790
Q8WWH5	Papillomaviruses:P06788
Q8WZ19	Papillomaviruses:P06788
Q8WZ71	Papillomaviruses:P06792
Q92508	Papillomaviruses:P06792
Q92530	Papillomaviruses:P06463
Q92597	Papillomaviruses:P06463
Q92633	Papillomaviruses:P06792
Q92796	Papillomaviruses:P06463
Q969E2	Papillomaviruses:P06792
Q969F0	Papillomaviruses:P06792
Q969N2	Papillomaviruses:P06792
Q96AA3	Papillomaviruses:P06792
Q96AM1	Papillomaviruses:P06792
Q96AQ6	Papillomaviruses:P06792
Q96BI1	Papillomaviruses:P06792
Q96BY9	Papillomaviruses:P06792
Q96C00	Papillomaviruses:P06788
Q96CX2	Papillomaviruses:P06792
Q96EK4	Papillomaviruses:P06788
Q96F44	Papillomaviruses:P06463
Q96FQ6	Papillomaviruses:P06792
Q96IX5	Papillomaviruses:P06792
Q96JC1	Papillomaviruses:P06790
Q96JH8	Papillomaviruses:P06463
Q96JJ7	Papillomaviruses:P06792
Q96JM7	Papillomaviruses:P06788
Q96K19	Papillomaviruses:P06792
Q96K37	Papillomaviruses:P06792
Q96K49	Papillomaviruses:P06463
Q96KG9	Papillomaviruses:P06790
Q96L92	Papillomaviruses:P06463
Q96N66	Papillomaviruses:P06792
Q96N67	Papillomaviruses:P06463
Q96PE1	Papillomaviruses:P06792
Q96PU8	Papillomaviruses:P06788
Q96QE5	Papillomaviruses:P06790
Q96QF0	Papillomaviruses:P06790
Q96QZ7	Papillomaviruses:P06463
Q96QZ7	Papillomaviruses:Q76Z97
Q96QZ7-1	Papillomaviruses:P06463
Q96S52	Papillomaviruses:P06792
Q96SL1	Papillomaviruses:P06792
Q96T23	Papillomaviruses:P06790
Q96TC7	Papillomaviruses:P06792
Q99460	Papillomaviruses:P06463
Q99500	Papillomaviruses:P06792
Q99538	Papillomaviruses:P06463
Q99584	Papillomaviruses:P06792
Q9BQB6	Papillomaviruses:P06792
Q9BRH9	Papillomaviruses:P06788
Q9BSA9	Papillomaviruses:P06792
Q9BSR8	Papillomaviruses:P06792
Q9BT22	Papillomaviruses:P06792
Q9BUL8	Papillomaviruses:P06788
Q9BVC6	Papillomaviruses:P06792
Q9BVG9	Papillomaviruses:P06792
Q9BVW5	Papillomaviruses:P06790
Q9BWM7	Papillomaviruses:P06792
Q9BXJ8	Papillomaviruses:P06792
Q9BXU7	Papillomaviruses:P06788
Q9BY07	Papillomaviruses:P06463
Q9BZG1	Papillomaviruses:P06792
Q9C0E8	Papillomaviruses:P06792
Q9GZM5	Papillomaviruses:P06792
Q9GZP9	Papillomaviruses:P06792
Q9GZP9	Papillomaviruses:P06790
Q9H061	Papillomaviruses:P06792
Q9H0H3	Papillomaviruses:P06788
Q9H1C4	Papillomaviruses:P06792
Q9H1K1	Papillomaviruses:P06788
Q9H2C2	Papillomaviruses:P06792
Q9H2V7	Papillomaviruses:P06792
Q9H490	Papillomaviruses:P06792
Q9H4Y5	Papillomaviruses:P06788
Q9H5P4	Papillomaviruses:P06463
Q9HBA0	Papillomaviruses:P06792
Q9HBJ7	Papillomaviruses:P06788
Q9HBM0	Papillomaviruses:P06792
Q9HBR0	Papillomaviruses:P06792
Q9HC07	Papillomaviruses:P06792
Q9HCE9	Papillomaviruses:P06463
Q9HD20	Papillomaviruses:P06792
Q9HD26	Papillomaviruses:P06463
Q9HD45	Papillomaviruses:P06792
Q9HDC9	Papillomaviruses:P06792
Q9NP81	Papillomaviruses:P06788
Q9NQC7	Papillomaviruses:P06463
Q9NRG1	Papillomaviruses:P06463
Q9NRL2	Papillomaviruses:P06790
Q9NRP0	Papillomaviruses:P06792
Q9NRX5	Papillomaviruses:P06792
Q9NSN8	Papillomaviruses:P06463
Q9NTJ5	Papillomaviruses:P06792
Q9NUP9	Papillomaviruses:P06463
Q9NVA4	Papillomaviruses:P06792
Q9NVH1	Papillomaviruses:P06792
Q9NVZ3	Papillomaviruses:P06788
Q9NW15	Papillomaviruses:P06792
Q9NW81	Papillomaviruses:P06463
Q9NX61	Papillomaviruses:P06792
Q9NXW2	Papillomaviruses:P06792
Q9NY99	Papillomaviruses:P06463
Q9NZ01	Papillomaviruses:P06792
Q9NZH0	Papillomaviruses:P06792
Q9NZM1	Papillomaviruses:P06463
Q9NZW5	Papillomaviruses:P06463
Q9P0J6	Papillomaviruses:P06788
Q9P225	Papillomaviruses:P06788
Q9UBQ0	Papillomaviruses:P06463
Q9UBU6	Papillomaviruses:P06792
Q9UGP8	Papillomaviruses:P06792
Q9UHB9	Papillomaviruses:P06790
Q9UHD8	Papillomaviruses:P06463
Q9UHY1	Papillomaviruses:P06790
Q9UIJ7	Papillomaviruses:P06788
Q9UJ14	Papillomaviruses:P06792
Q9UJ70	Papillomaviruses:P06463
Q9UM00	Papillomaviruses:P06792
Q9UNL2	Papillomaviruses:P06792
Q9UNM6	Papillomaviruses:P06463
Q9UP95	Papillomaviruses:P06792
Q9UPQ7	Papillomaviruses:P06463
Q9Y244	Papillomaviruses:P06790
Q9Y2G8	Papillomaviruses:P06792
Q9Y2H9	Papillomaviruses:P06463
Q9Y2Q3	Papillomaviruses:P06463
Q9Y2Y4	Papillomaviruses:P06788
Q9Y320	Papillomaviruses:P06792
Q9Y394	Papillomaviruses:P06792
Q9Y3B6	Papillomaviruses:P06463
Q9Y3B6	Papillomaviruses:P06788
Q9Y3E0	Papillomaviruses:P06792
Q9Y3E5	Papillomaviruses:P06792
Q9Y4P3	Papillomaviruses:P06792
Q9Y570	Papillomaviruses:P06790
Q9Y5M8	Papillomaviruses:P06792
Q9Y5S1	Papillomaviruses:P06792
Q9Y5X3	Papillomaviruses:P06463
Q9Y653	Papillomaviruses:P06792
Q9Y6H3	Papillomaviruses:P06463
Q9Y6K0	Papillomaviruses:P06792
Q9Y6N5	Papillomaviruses:P06788
Q9Y6N5	Papillomaviruses:P06463
Q9Y6N5	Papillomaviruses:P06792
Q9Y6Q5	Papillomaviruses:P06788
Q12959	Papillomaviruses:P54667
Q12959	Papillomaviruses:P50804
Q14160	Papillomaviruses:P50804
Q96RT1	Papillomaviruses:P50804
Q92973	Papillomaviruses:P36741
Q12959	Papillomaviruses:P21735
Q14160	Papillomaviruses:P21735
P20226	Papillomaviruses:P36791
P02751	Papillomaviruses:P36791
Q16236	Papillomaviruses:P36791
P68104	Papillomaviruses:P36827
Q86VP1	Papillomaviruses:P36791
P12814	Papillomaviruses:P36791
P02795	Papillomaviruses:P36827
P04637	Papillomaviruses:P36791
O60885	Papillomaviruses:P36791
P52799	Papillomaviruses:P36827
Q13438	Papillomaviruses:P36827
O95251	Papillomaviruses:P36791
O95251	Papillomaviruses:P36827
P06733	Papillomaviruses:P36827
P06733	Papillomaviruses:P36791
Q8NCG7	Papillomaviruses:P36827
Q9UJY5	Papillomaviruses:P36791
P05204	Papillomaviruses:P36827
P22736	Papillomaviruses:P36791
P09651	Papillomaviruses:P36827
Q13123	Papillomaviruses:P36791
P84077	Papillomaviruses:P36810
P14174	Papillomaviruses:P36827
P62875	Papillomaviruses:P36827
Q9HCK8	Papillomaviruses:P36827
Q02878	Papillomaviruses:P36827
P23396	Papillomaviruses:P36827
P61247	Papillomaviruses:P36827
P62263	Papillomaviruses:P36827
P62979	Papillomaviruses:P36827
Q86XZ4	Papillomaviruses:P36791
Q9BQA1	Papillomaviruses:P36810
P27797	Papillomaviruses:P36827
A0A087WUS5	Papillomaviruses:P36827
A0A087WUZ3	Papillomaviruses:P36827
A0A087X1E4	Papillomaviruses:P36791
A0A0C4DFM2	Papillomaviruses:P36827
A0A0C4DFM2	Papillomaviruses:P36791
A0A1W2PPJ5	Papillomaviruses:P36827
A0A3B3IUA2	Papillomaviruses:P36827
A0A3B3IUB5	Papillomaviruses:P36827
B4DR61	Papillomaviruses:P36827
B7Z4C8	Papillomaviruses:P36827
E9PF18	Papillomaviruses:P36827
F5GY05	Papillomaviruses:P36827
I3L0L0	Papillomaviruses:P36827
I3L0L0	Papillomaviruses:P36791
J3KQ48	Papillomaviruses:P36827
O00203	Papillomaviruses:P36827
O14735	Papillomaviruses:P36791
O43791	Papillomaviruses:P36791
O75095	Papillomaviruses:P36827
O94986	Papillomaviruses:P36791
O95905	Papillomaviruses:P36810
P00395	Papillomaviruses:P36827
P00414	Papillomaviruses:P36827
P03905	Papillomaviruses:P36827
P04083	Papillomaviruses:P36810
P10909	Papillomaviruses:P36827
P16144	Papillomaviruses:P36791
P36404	Papillomaviruses:P36810
P47869	Papillomaviruses:P36827
P49815	Papillomaviruses:P36810
P50616	Papillomaviruses:P36791
P50995	Papillomaviruses:P36810
P53365	Papillomaviruses:P36791
P62081	Papillomaviruses:P36827
Q13950	Papillomaviruses:P36791
Q14533	Papillomaviruses:P36791
Q14703	Papillomaviruses:P36827
Q15038	Papillomaviruses:P36827
Q16629	Papillomaviruses:P36791
Q496F6	Papillomaviruses:P36810
Q5T1Z8	Papillomaviruses:P36827
Q66K74	Papillomaviruses:P36791
Q66K74	Papillomaviruses:P36810
Q66K74	Papillomaviruses:P36827
Q6NSJ5	Papillomaviruses:P36827
Q6UN15	Papillomaviruses:P36827
Q6ZN55	Papillomaviruses:P36791
Q7Z7M9	Papillomaviruses:P36827
Q86SG4	Papillomaviruses:P36827
Q8IWX8	Papillomaviruses:P36827
Q8IZC6	Papillomaviruses:P36827
Q8N1B4	Papillomaviruses:P36791
Q8N3J9	Papillomaviruses:P36827
Q8NDL9	Papillomaviruses:P36810
Q8WVL7	Papillomaviruses:P36810
Q8WVN8	Papillomaviruses:P36827
Q8WWH5	Papillomaviruses:P36827
Q96EY1	Papillomaviruses:P36827
Q96KG9	Papillomaviruses:P36791
Q9H396	Papillomaviruses:P36810
Q9NSG2	Papillomaviruses:P36810
Q9NY93	Papillomaviruses:P36791
Q9NYF3	Papillomaviruses:P36791
Q9UHC7	Papillomaviruses:P36827
Q00403	Papillomaviruses:P03122
P20226	Papillomaviruses:P03122
P21675	Papillomaviruses:P03122
P27694	Papillomaviruses:P03116
Q12824-1	Papillomaviruses:P03116
P63279	Papillomaviruses:P03116
P63165	Papillomaviruses:P03116
P52294	Papillomaviruses:P03116
Q96L91	Papillomaviruses:P03122
O00629	Papillomaviruses:P03116
P49023	Papillomaviruses:P06931
Q12959	Papillomaviruses:P06931
P41229	Papillomaviruses:P03122
