Human	Papillomaviruses
Q96HA8	Papillomaviruses:P06430
Q96HB5	Papillomaviruses:P06428
Q96HT8	Papillomaviruses:P06430
Q96JC1	Papillomaviruses:P06422
Q96JC9	Papillomaviruses:P06430
Q96JT2	Papillomaviruses:P06428
Q96KG9	Papillomaviruses:P06422
Q96M63	Papillomaviruses:P06428
Q96N66	Papillomaviruses:P06428
Q96QE5	Papillomaviruses:P06422
Q96QF0	Papillomaviruses:P06422
Q96QZ7	Papillomaviruses:P06428
Q96S55	Papillomaviruses:P06428
Q96SH1	Papillomaviruses:P06430
Q96ST2	Papillomaviruses:P06428
Q96T23	Papillomaviruses:P06422
Q96T49	Papillomaviruses:P06428
Q96T76	Papillomaviruses:P06428
Q99549	Papillomaviruses:P06430
Q99576	Papillomaviruses:P06428
Q99698	Papillomaviruses:P06422
Q9BQB6	Papillomaviruses:P06430
Q9BQB6	Papillomaviruses:P06428
Q9BRH9	Papillomaviruses:P06422
Q9BRJ6	Papillomaviruses:P06428
Q9BSE2	Papillomaviruses:P06428
Q9BT92	Papillomaviruses:P06428
Q9BVC6	Papillomaviruses:P06428
Q9BVW5	Papillomaviruses:P06422
Q9BVX2	Papillomaviruses:P06428
Q9BWF3	Papillomaviruses:P06430
Q9BWG6	Papillomaviruses:P06428
Q9BY07	Papillomaviruses:P06428
Q9BY21	Papillomaviruses:P06428
Q9BYG5	Papillomaviruses:P06430
Q9BZA7	Papillomaviruses:P06428
Q9BZF9	Papillomaviruses:P06422
Q9C0F1	Papillomaviruses:P06430
Q9GZP9	Papillomaviruses:P06422
Q9H082	Papillomaviruses:P06428
Q9H0H5	Papillomaviruses:P06430
Q9H1X3	Papillomaviruses:P06428
Q9H1Z4	Papillomaviruses:P06428
Q9H257	Papillomaviruses:P06428
Q9H270	Papillomaviruses:P06428
Q9H4A4	Papillomaviruses:P06428
Q9H7H0	Papillomaviruses:P06428
Q9HAU0	Papillomaviruses:P06428
Q9HB07	Papillomaviruses:P06430
Q9HBI0	Papillomaviruses:P06428
Q9HC73	Papillomaviruses:P06430
Q9HCY8	Papillomaviruses:P06428
Q9HDC9	Papillomaviruses:P06428
Q9NP98	Papillomaviruses:P06428
Q9NPG3	Papillomaviruses:P06428
Q9NQL9	Papillomaviruses:P06428
Q9NQY0	Papillomaviruses:P06430
Q9NR12	Papillomaviruses:P06430
Q9NR12	Papillomaviruses:P06428
Q9NRD9	Papillomaviruses:P06428
Q9NRL2	Papillomaviruses:P06422
Q9NRY2	Papillomaviruses:P06428
Q9NS73	Papillomaviruses:P06430
Q9NUS5	Papillomaviruses:P06428
Q9NVR2	Papillomaviruses:P06428
Q9NWU1	Papillomaviruses:P06428
Q9NX14	Papillomaviruses:P06428
Q9NXB0	Papillomaviruses:P06428
Q9NY93	Papillomaviruses:P06422
Q9NYK1	Papillomaviruses:P06428
Q9NYY3	Papillomaviruses:P06422
Q9NYY3	Papillomaviruses:P06428
Q9NZV6	Papillomaviruses:P06422
Q9P003	Papillomaviruses:P06428
Q9P0N9	Papillomaviruses:P06428
Q9P0T4	Papillomaviruses:P06428
Q9P2B4	Papillomaviruses:P06428
Q9P2E9	Papillomaviruses:P06428
Q9P2H0	Papillomaviruses:P06430
Q9UBV8	Papillomaviruses:P06428
Q9UHA4	Papillomaviruses:P06428
Q9UHD8	Papillomaviruses:P06428
Q9UHR5	Papillomaviruses:P06430
Q9UHY1	Papillomaviruses:P06422
Q9UI12	Papillomaviruses:P06428
Q9UIG8	Papillomaviruses:P06428
Q9UKM7	Papillomaviruses:P06428
Q9ULJ6	Papillomaviruses:P06428
Q9UPQ7	Papillomaviruses:P06428
Q9Y244	Papillomaviruses:P06422
Q9Y247	Papillomaviruses:P06428
Q9Y272	Papillomaviruses:P06428
Q9Y291	Papillomaviruses:P06428
Q9Y2K2	Papillomaviruses:P06428
Q9Y2L1	Papillomaviruses:P06430
Q9Y2V7	Papillomaviruses:P06428
Q9Y2Y4	Papillomaviruses:P06430
Q9Y337	Papillomaviruses:P06428
Q9Y3D3	Papillomaviruses:P06428
Q9Y3L5	Papillomaviruses:P06428
Q9Y3M8	Papillomaviruses:P06428
Q9Y4B5	Papillomaviruses:P06428
Q9Y570	Papillomaviruses:P06422
Q9Y5M8	Papillomaviruses:P06428
Q9Y6N5	Papillomaviruses:P06428
Q9Y6N5	Papillomaviruses:P06430
Q9Y6N9	Papillomaviruses:P06430
Q9Y6X8	Papillomaviruses:P06428
X6R8A1	Papillomaviruses:P06428
X6R8F3	Papillomaviruses:P06428
X6REH9	Papillomaviruses:P06428
P20226	Papillomaviruses:P06932
P20226	Papillomaviruses:P06921
P20226	Papillomaviruses:P06930
Q07955	Papillomaviruses:P06921
P35232	Papillomaviruses:P06930
P60709	Papillomaviruses:P06932
Q16236	Papillomaviruses:P06921
P02792	Papillomaviruses:P06930
P68104	Papillomaviruses:P06932
P62158	Papillomaviruses:P06921
P04406	Papillomaviruses:P06932
P04406	Papillomaviruses:P06930
Q86VP1	Papillomaviruses:P06921
Q13813	Papillomaviruses:P06921
P12814	Papillomaviruses:P06930
P11021	Papillomaviruses:P06930
P11021	Papillomaviruses:P06921
Q92985	Papillomaviruses:P06930
P02795	Papillomaviruses:P06932
P04637	Papillomaviruses:P06921
Q15365	Papillomaviruses:P06921
Q15365	Papillomaviruses:P06930
Q9UM11	Papillomaviruses:P06921
P26045	Papillomaviruses:P06930
O60885	Papillomaviruses:P06921
O00560	Papillomaviruses:P06932
Q9P0J7	Papillomaviruses:P06932
P09086	Papillomaviruses:P06930
P09086	Papillomaviruses:Q81983
P06400	Papillomaviruses:P06932
O75925	Papillomaviruses:P06921
Q9BXK5	Papillomaviruses:P06921
Q92793	Papillomaviruses:Q81983
Q92793	Papillomaviruses:P06930
Q7Z6Z7	Papillomaviruses:P06921
P42704	Papillomaviruses:P06930
P68371	Papillomaviruses:P06930
Q6P2Q9	Papillomaviruses:P06930
P49755	Papillomaviruses:P06930
O95251	Papillomaviruses:P06921
P06733	Papillomaviruses:P06921
P06733	Papillomaviruses:P06930
Q09472	Papillomaviruses:P06921
Q09472	Papillomaviruses:P06930
Q09472	Papillomaviruses:Q81983
Q14289	Papillomaviruses:P06921
Q9BS26	Papillomaviruses:P06930
Q5T4S7	Papillomaviruses:P06932
Q15022	Papillomaviruses:P06932
Q8NAP3	Papillomaviruses:P06921
Q9Y2S7	Papillomaviruses:P06921
Q9UJY5	Papillomaviruses:P06921
Q8WWY3	Papillomaviruses:P06921
Q8NC51	Papillomaviruses:P06932
Q13227	Papillomaviruses:P06921
Q13227	Papillomaviruses:P06930
P30101	Papillomaviruses:P06921
P07355	Papillomaviruses:P06930
P22736	Papillomaviruses:P06921
P04792	Papillomaviruses:P06921
P25685	Papillomaviruses:P06930
P25685	Papillomaviruses:P06932
P29218	Papillomaviruses:P06930
P29218	Papillomaviruses:Q81983
Q15796	Papillomaviruses:P06930
P84022	Papillomaviruses:P06930
P55081	Papillomaviruses:P06932
P55209	Papillomaviruses:P06921
O96000	Papillomaviruses:P06930
P09958	Papillomaviruses:P06930
Q9Y3D0	Papillomaviruses:P06930
P20618	Papillomaviruses:P06930
Q8WXI9	Papillomaviruses:P06932
Q02878	Papillomaviruses:P06930
P30050	Papillomaviruses:P06932
P62979	Papillomaviruses:P06932
Q86XZ4	Papillomaviruses:P06921
P61956	Papillomaviruses:P06930
Q07021	Papillomaviruses:P06921
P63261	Papillomaviruses:P06930
P22314	Papillomaviruses:P06921
P49459	Papillomaviruses:P06930
Q16831	Papillomaviruses:P06932
Q13838	Papillomaviruses:P06930
P0DP24	Papillomaviruses:P06921
P27797	Papillomaviruses:P06932
Q14790	Papillomaviruses:P06921
P14635	Papillomaviruses:P06930
Q96GD4	Papillomaviruses:P06921
P13667	Papillomaviruses:P06921
O94842	Papillomaviruses:P06921
A0A087WX97	Papillomaviruses:P06921
A0A087WXK8	Papillomaviruses:P06930
A0A0A0MT64	Papillomaviruses:P06930
A0A0B4J1S8	Papillomaviruses:P06930
A0A0D9SGF6	Papillomaviruses:P06921
A0A2R8YDB8	Papillomaviruses:P06932
A0A2U3U043	Papillomaviruses:P06932
A0AV02	Papillomaviruses:Q81983
A0AV02	Papillomaviruses:P06930
A6NFX8	Papillomaviruses:P06930
A8MYR2	Papillomaviruses:P06930
A8MYV6	Papillomaviruses:P06930
B7Z4C8	Papillomaviruses:P06932
C9JIZ6	Papillomaviruses:P06930
D6RFX5	Papillomaviruses:P06921
E7EWN3	Papillomaviruses:P06932
E9PFW3	Papillomaviruses:P06930
E9PI68	Papillomaviruses:P06932
E9PRY8	Papillomaviruses:P06930
F8VNR3	Papillomaviruses:P06930
F8WB74	Papillomaviruses:P06932
H0Y4G9	Papillomaviruses:P06930
H0Y8C3	Papillomaviruses:P06930
H0YFD6	Papillomaviruses:P06930
H3BSS6	Papillomaviruses:P06932
J3KTL2	Papillomaviruses:P06921
K7EQ78	Papillomaviruses:P06930
O00308	Papillomaviruses:P06921
O14617	Papillomaviruses:P06921
O14735	Papillomaviruses:P06921
O14907	Papillomaviruses:P06930
O15305	Papillomaviruses:P06921
O43166	Papillomaviruses:P06930
O43791	Papillomaviruses:P06921
O60888	Papillomaviruses:P06930
O75132	Papillomaviruses:P06930
O75528	Papillomaviruses:P06930
O75688	Papillomaviruses:Q81983
O75688	Papillomaviruses:P06930
O75817	Papillomaviruses:P06932
O95235	Papillomaviruses:P06921
O95425	Papillomaviruses:P06932
O95807	Papillomaviruses:P06930
O95832	Papillomaviruses:P06930
O95999	Papillomaviruses:P06930
O95999	Papillomaviruses:Q81983
P00338	Papillomaviruses:P06930
P00414	Papillomaviruses:P06932
P02538	Papillomaviruses:P06921
P03905	Papillomaviruses:P06932
P04156	Papillomaviruses:P06930
P08240	Papillomaviruses:P06930
P08240	Papillomaviruses:Q81983
P09543	Papillomaviruses:P06932
P11216	Papillomaviruses:P06930
P11308	Papillomaviruses:P06932
P11474	Papillomaviruses:P06921
P11684	Papillomaviruses:P06930
P12109	Papillomaviruses:Q81983
P12109	Papillomaviruses:P06930
P15514	Papillomaviruses:P06921
P16144	Papillomaviruses:P06921
P17676	Papillomaviruses:P06921
P17936	Papillomaviruses:P06932
P18283	Papillomaviruses:P06930
P18887	Papillomaviruses:P06930
P20930	Papillomaviruses:P06932
P24278	Papillomaviruses:P06932
P25787	Papillomaviruses:P06921
P26641	Papillomaviruses:P06921
P28300	Papillomaviruses:P06932
P30408	Papillomaviruses:P06930
P31274	Papillomaviruses:P06921
P31431	Papillomaviruses:P06930
P35219	Papillomaviruses:P06932
P35221	Papillomaviruses:P06930
P39060	Papillomaviruses:P06930
P47869	Papillomaviruses:P06932
P50479	Papillomaviruses:P06932
P50616	Papillomaviruses:P06930
P50616	Papillomaviruses:P06921
P51523	Papillomaviruses:P06921
P52739	Papillomaviruses:P06932
P52740	Papillomaviruses:P06932
P53365	Papillomaviruses:P06921
P53621	Papillomaviruses:P06932
P53992	Papillomaviruses:P06930
P55327	Papillomaviruses:P06930
P56537	Papillomaviruses:P06921
P57078	Papillomaviruses:P06932
P61769	Papillomaviruses:P06930
P61769	Papillomaviruses:P06932
P62952	Papillomaviruses:P06930
P78417	Papillomaviruses:P06932
P80188	Papillomaviruses:P06921
