"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3905","45","131","3.74591555","4.638E-5","0.26695743","0.33333333","3","7","false","P51948","130.33333333","3","0","0","0.69489827","false","0","P51948","61476","0.34482759"
"3906","60","231","3.61213664","7.118E-5","0.27684445","0.0","10","6","false","Q86WV6","56.4","10","0","0","0.7097626","false","0","Q86WV6","158362","0.11013917"
"3907","45","143","3.74145979","3.54E-6","0.26727536","0.0","2","6","false","Q9C035","170.0","2","0","0","0.69539336","false","0","Q9C035","18802","0.52"
"3908","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","P51170","196.0","1","0","0","0.68390032","false","0","P51170","0","0.0"
"3909","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","P51168","196.0","1","0","0","0.68390032","false","0","P51168","0","0.0"
"3910","65","266","3.58137068","1.065E-5","0.2792227","0.5","4","6","false","Q92560","169.5","4","0","0","0.71318104","false","0","Q92560","57994","0.36397849"
"3911","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q9NY47","196.0","1","0","0","0.68390032","false","0","Q9NY47","0","0.0"
"3912","45","141","3.6419478","2.962E-5","0.27457834","0.0","2","6","false","P22413","218.5","2","0","0","0.70645024","false","0","P22413","53410","0.50699301"
"3913","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q9BXL7","196.0","1","0","0","0.68390032","false","0","Q9BXL7","0","0.0"
"3914","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q16763","196.0","1","0","0","0.68390032","false","0","Q16763","0","0.0"
"3915","35","107","3.80097602","0.0","0.26309032","1.0","2","7","false","Q96A37","124.5","2","0","0","0.68878044","false","0","Q96A37","0","0.5209205"
"3916","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q9UDY8","196.0","1","0","0","0.68390032","false","0","Q9UDY8","0","0.0"
"3917","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q8IYU2","196.0","1","0","0","0.68390032","false","0","Q8IYU2","0","0.0"
"3918","35","107","3.80097602","0.0","0.26309032","1.0","2","7","false","Q9BZR9","124.5","2","0","0","0.68878044","false","0","Q9BZR9","0","0.5209205"
"3919","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q8WXH2","196.0","1","0","0","0.68390032","false","0","Q8WXH2","0","0.0"
"3920","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q9HB29","196.0","1","0","0","0.68390032","false","0","Q9HB29","0","0.0"
"3921","95","756","2.85624867","0.00343264","0.35010957","0.01073883","97","6","false","Q9NS91","36.15463918","97","0","0","0.79375015","false","0","Q9NS91","7537890","0.01810551"
"3922","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q9BYJ4","196.0","1","0","0","0.68390032","false","0","Q9BYJ4","0","0.0"
"3923","65","292","3.44557607","1.1053E-4","0.29022723","0.2","6","6","false","P42224","171.33333333","6","0","0","0.72826933","false","0","P42224","255372","0.19340866"
"3924","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","P37088","196.0","1","0","0","0.68390032","false","0","P37088","0","0.0"
"3925","65","268","3.48737534","1.1049E-4","0.2867486","0.06666667","6","6","false","Q9Y6K9","143.66666667","6","0","0","0.72362496","false","0","Q9Y6K9","204572","0.18619792"
"3926","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","O43913","196.0","1","0","0","0.68390032","false","0","O43913","0","0.0"
