"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"209","50","135","3.65178236","4.4474E-4","0.27383888","0.0","8","6","false","Q8TCT7","58.125","8","0","0","0.6685272","false","0","Q8TCT7","374696","0.12779642"
"211","15","37","4.16697936","2.398E-5","0.23998199","0.0","4","7","false","Q9H7F0","18.75","4","0","0","0.60412758","false","0","Q9H7F0","41352","0.27307692"
"213","70","236","3.47767355","1.0396E-4","0.28754855","0.0","11","6","false","Q8TAP6","55.0","11","0","0","0.69029081","false","0","Q8TAP6","166428","0.10325048"
"216","80","397","3.29480926","4.7611E-4","0.30350771","0.01666667","16","5","false","P46379","74.125","16","0","0","0.71314884","false","0","P46379","927600","0.07951464"
"218","85","417","3.18849281","4.3072E-4","0.3136278","0.11111111","9","5","false","Q99816","213.11111111","9","0","0","0.7264384","false","0","Q99816","906462","0.1264459"
"220","90","417","3.19437148","3.6162E-4","0.31305063","0.03921569","18","5","false","P12004","93.0","18","0","0","0.72570356","false","0","P12004","839920","0.06998065"
"222","90","463","3.24765478","3.8344E-4","0.3079145","0.08225108","22","6","false","O60506","93.95454545","22","0","0","0.71904315","false","0","O60506","868806","0.08046472"
"224","90","417","3.19862414","7.386E-5","0.31263442","0.10714286","8","5","false","P17096","246.0","8","0","0","0.72517198","false","0","P17096","286962","0.1758596"
"226","90","417","3.17498437","6.741E-5","0.31496218","0.19047619","7","5","false","P26358","288.57142857","7","0","0","0.72812695","false","0","P26358","214202","0.16938056"
"228","65","220","3.50156348","1.2416E-4","0.28558671","0.02777778","9","6","false","P49755","58.11111111","9","0","0","0.68730457","false","0","P49755","172902","0.13210445"
"230","95","646","2.98711695","0.01163438","0.33477096","0.00472921","115","5","false","P85037","13.5826087","115","0","0","0.75161038","false","0","P85037","15577650","0.01601259"
"232","65","209","3.62313946","6.174E-5","0.27600373","0.13333333","10","6","false","Q01167","51.1","10","0","0","0.67210757","false","0","Q01167","83868","0.11043478"
"234","90","456","3.08317699","8.764E-4","0.32434077","0.07352941","17","5","false","Q14103","160.82352941","17","0","0","0.73960288","false","0","Q14103","1622364","0.09033969"
"236","95","628","3.11882427","0.00723329","0.32063365","0.002442","91","6","false","Q9HCM4","8.25274725","91","0","0","0.73514697","false","0","Q9HCM4","12222080","0.02429913"
"238","75","311","3.29918699","0.00156679","0.30310498","0.02222222","10","5","false","P50222","163.7","10","0","0","0.71260163","false","0","P50222","1919080","0.11561391"
"239","90","472","3.1043152","0.00244303","0.32213224","0.04453441","39","6","false","P14210","21.79487179","39","0","0","0.7369606","false","0","P14210","2046668","0.03421552"
"241","95","679","3.00475297","0.03034833","0.33280606","0.00197256","265","5","false","Q9UJV3","5.46792453","265","0","0","0.74940588","false","0","Q9UJV3","45323312","0.00946502"
"243","95","675","2.89093183","0.02453976","0.34590923","0.00396446","210","5","false","Q15691","10.62857143","210","0","0","0.76363352","false","0","Q15691","35288456","0.00960663"
"245","95","578","3.25240775","0.00611184","0.30746452","5.8445E-4","59","6","false","P21673","7.25423729","59","0","0","0.71844903","false","0","P21673","7660090","0.02409247"
"248","95","665","2.84565353","0.01044289","0.35141312","0.02025757","170","5","false","O00425","23.36470588","170","0","0","0.76929331","false","0","O00425","22360588","0.01610468"
"250","95","641","3.17773609","0.01166806","0.31468944","3.663E-4","105","6","false","Q7Z4N8","4.55238095","105","0","0","0.72778299","false","0","Q7Z4N8","11636812","0.01453634"
"252","95","691","2.76472795","0.04292722","0.36169924","0.00340635","379","5","false","Q9Y4K3","10.70976253","379","0","0","0.77940901","false","0","Q9Y4K3","91260142","0.00666629"
"254","95","666","2.89405879","0.02077479","0.34553548","0.00362952","173","5","false","Q9Y5V3","12.26589595","173","0","0","0.76324265","false","0","Q9Y5V3","25626870","0.00995173"
"256","95","669","3.07191995","0.02060024","0.32552932","0.00136364","176","6","false","Q13064","5.80681818","176","0","0","0.74101001","false","0","Q13064","23195198","0.00999494"
"258","95","643","2.54634146","0.02546242","0.39272031","0.02651232","104","5","false","P01106","100.53846154","104","0","0","0.80670732","false","0","P01106","39835798","0.02316444"
"260","70","234","3.45415885","7.938E-5","0.28950608","0.13333333","10","6","false","P11802","70.3","10","0","0","0.69323014","false","0","P11802","158202","0.11969178"
"262","50","133","3.79749844","5.081E-5","0.26333125","0.0","3","6","false","Q6UY14","160.0","3","0","0","0.6503127","false","0","Q6UY14","83888","0.36890951"
"264","50","127","3.71532208","0.0","0.26915567","1.0","3","6","false","Q13163","150.66666667","3","0","0","0.66058474","false","0","Q13163","0","0.37201646"
"266","80","371","3.22739212","3.7343E-4","0.30984769","0.07692308","14","6","false","P16070","106.64285714","14","0","0","0.72157598","false","0","P16070","796422","0.0877804"
"268","50","127","3.71532208","0.0","0.26915567","1.0","3","6","false","P30279","150.66666667","3","0","0","0.66058474","false","0","P30279","0","0.37201646"
