IDa	IDb
Q15311	Q96D71
O00116	P49257
O00116	Q8NBN3
O00116	Q9BZE1
P50993	P38606
P50993	Q99832
P50993	P62820
P50993	Q00610
P50993	P61421
P50993	P45880
P50993	P21796
Q6P3X3	P42285
Q6P3X3	Q92890
Q6P3X3	P08243
Q6P3X3	Q05048
Q6P3X3	P33240
Q6P3X3	P27361
Q6P3X3	O43143
Q6P3X3	Q14738
Q6P3X3	Q5T2E6
Q6P3X3	Q96D46
Q6P3X3	Q9Y5K6
Q6P3X3	Q06210
Q9UEW3	Q8NHQ9
P51948	P50613
P51948	P51946
P51948	Q86XK3
P49959	P12270
P49959	Q92878
P49959	Q8IWJ2
P49959	Q8TAQ2
P49959	Q96MC2
P49959	Q86VS8
P49959	P39748
P49959	Q92922
P49959	Q96BJ3
P49959	P12956
P49959	Q96JM3
P30740	Q9BY32
P30740	Q9UGI8
P30740	Q9Y296
O60306	Q9HCS7
O60306	Q9UNP9
O60306	Q9BZJ0
O60306	Q15428
O60306	Q8TF05
O60306	Q9ULR0
P31327	P11142
P31327	Q92598
P31327	P31943
P31327	P34932
Q9BY42	P00519
Q9BY42	Q92841
Q9BY42	Q9Y237
Q9BY42	Q9NXH9
Q9BY42	Q9P2J5
Q9BY42	P35520
Q9BY42	P17812
Q9NX02	P04406
Q9NX02	Q6PKG0
P28331	P54709
P28331	Q00325
P28331	Q9NZ01
P28331	Q9P0L0
P28331	Q9Y6C9
P28331	P62841
P28331	P24539
P28331	P21912
P28331	O96008
P28331	O43674
P28331	Q9NZJ7
P28331	Q86YQ8
P28331	Q16795
P28331	P22695
P28331	O96000
P28331	Q00610
P28331	Q9Y4W6
P28331	P05026
P28331	P14927
P28331	O75306
P28331	P61421
P28331	P05023
P28331	O43181
P28331	P49821
P28331	P62879
P28331	P19404
P28331	P00403
P28331	P03886
P28331	O75489
Q9BS26	Q9NVS9
Q9BS26	O60749
Q9NS18	P40926
Q9NS18	P36969
Q9NS18	P99999
Q9NS18	P48739
Q9Y315	P19971
Q9Y315	Q9NVS9
Q9Y315	P31939
Q9Y315	Q9H993
Q9Y315	Q8IZ83
Q9Y315	P35573
Q9Y315	Q9BZE9
Q9Y315	P00491
Q9Y3F4	A0AVT1
Q9Y3F4	P19174
Q9Y3F4	P17812
P48507	O75131
Q8IWV8	P49459
Q8IWV8	P35998
Q9NZN4	P30153
Q9NZN4	P50991
Q9NZN4	Q99832
Q9NZN4	Q00610
Q9NZN4	P40227
Q9NZN4	P50990
Q9NZN4	P49368
Q9BVI0	Q9NRF9
Q6IBW4	ENSG00000131795
Q6IBW4	Q86XI2
Q6IBW4	P42695
Q6IBW4	Q92922
Q15785	P35637
Q15785	P26639
Q15785	Q14103
Q15785	Q99615
Q9UGP8	P61619
Q9UGP8	P46782
Q9UGP8	P33527
Q9UGP8	P11310
Q9UGP8	O00629
Q9UGP8	P39656
O60684	Q9Y2X3
O60684	O00410
O60684	O00567
O60684	P22087
O60684	Q13547
O60684	Q15014
O60684	Q99873
O60684	P62826
O60684	O60518
O60684	P62913
O60684	P35998
O60684	Q9NPD3
O60684	P52292
O60684	Q9UBU8
O60684	P09429
P08670	P80723
O00584	Q9UII2
Q13596	Q96QK1
Q13596	Q8IWB7
Q13596	Q9Y5X3
Q13596	P15170
Q13596	Q9UBQ0
Q13596	Q9NQC3
Q13596	O75436
Q13596	Q9UNH7
Q13596	Q9NRG4
Q13596	Q4G0F5
Q13596	Q9Y230
Q13596	Q9Y333
Q9NYF8	Q9Y2W1
Q9NYF8	P46781
O15347	Q9H1E3
O15347	Q9Y5B9
O15347	Q08945
O15347	Q9NPD3
Q12769	Q8WUM0
Q12769	Q9BW27
P49591	Q99816
P49591	P27708
P49591	P51003
P49591	Q13573
P49591	P04792
P49591	Q16204
P49591	Q15185
P49591	P49590
P49591	P26639
P49591	O15355
P49591	Q14696
P49591	Q14258
P49591	O75146
P49591	O94808
P49591	Q8TEM1
P49591	P53365
P49591	Q9NZ63
P49591	P23381
P49591	Q9UHV9
P49591	P08237
P49591	P55735
P49591	P53367
P49591	Q96M27
P49591	P12081
Q9H6Z4	Q96GM5
Q9H6Z4	Q6STE5
Q9H6Z4	P62826
Q9H6Z4	P18754
P29374	Q96ST3
Q13099	Q9P2H3
Q6NZY4	Q9Y580
Q6NZY4	O15357
Q9UG63	Q8WU90
Q9UG63	O60884
Q9UG63	Q9NVP1
Q9UG63	Q02878
Q9UG63	A0A384N5Y3
Q9UG63	O00567
Q9UG63	Q14152
Q9UG63	P41091
Q9UG63	O60832
Q9UG63	O75153
Q9UG63	A0A0A0MTB8
Q9UG63	Q9H0A0
Q9UG63	Q7Z2Z2
Q9UG63	O60841
Q9UG63	Q9NUQ8
Q9UG63	O15160
Q9UG63	O00571
A0AVT1	Q01813
A0AVT1	Q86UV5
A0AVT1	Q5SRE5
A0AVT1	P52788
A0AVT1	Q8N1F7
A0AVT1	A0A024R4E5
A0AVT1	P15374
A0AVT1	Q9UBK8
A0AVT1	O60610
A0AVT1	O75153
A0AVT1	Q9UHY7
A0AVT1	P63172
A0AVT1	Q96H20
A0AVT1	Q9NWV4
A0AVT1	P17812
A0AVT1	P12268
A0AVT1	O95352
Q93050	P61421
Q93050	P48047
P63313	P07737
P63313	P17931
P18206	Q96AC1
P18206	Q13492
P18206	P49023
P30520	P04181
P30520	Q99714
P30520	Q96EK6
P30520	P11172
P30520	O14732
P30520	P17858
P30520	Q9H993
P30520	Q9NRN7
P30520	P22102
P30520	Q13363
P30520	P35573
P30520	P53367
P30520	P61457
P30520	Q6ICL3
P30520	Q96AT9
P30520	P22392
P35251	P35250
P35251	Q14683
P35251	P13010
P35251	O75419
P35251	P40937
P35251	Q9NTJ3
P35251	Q29RF7
P35251	P12004
P35251	P40938
P35251	O95347
P35251	Q49A26
P35251	Q9H0H5
P35251	P35249
P35251	P12956
Q9NUY8	Q9NPF4
Q9NUY8	O76003
Q9NUY8	Q9BZZ5
Q13618	Q96GG9
Q13618	Q13616
Q13618	P40222
Q13618	Q9UKX7
Q13618	Q13617
Q13618	Q9Y3A5
Q13618	Q9ULP9
Q13618	Q8IZ73
Q13618	O75449
Q9UNX3	Q07020
Q9UNX3	P54709
Q9UNX3	Q02878
Q9UNX3	P39023
Q9UNX3	P62249
Q9UNX3	P49207
Q9UNX3	P62277
Q9UNX3	P62841
Q9UNX3	P35268
Q9UNX3	P46778
Q9UNX3	P46777
Q9UNX3	P62829
Q9UNX3	Q9Y3U8
Q9UNX3	P61353
Q9UNX3	P42766
Q9UNX3	P62753
Q9UNX3	P62241
Q9UNX3	H7C2U2
Q9UNX3	P62424
Q9UNX3	P62888
Q9UNX3	P62917
Q9UNX3	P46776
Q9UNX3	P26373
Q9UNX3	P46781
Q9UNX3	P36578
Q9UNX3	P61313
Q9UNX3	P05387
Q9UNX3	P50914
Q9UNX3	P62854
Q9UNX3	P30050
Q9UNX3	P62906
Q9UNX3	P62273
Q9UNX3	A0A0A0MRF8
Q9UNX3	P62269
Q08J23	Q96PZ0
Q08J23	P22087
Q08J23	Q9Y6V7
Q08J23	Q9NRX1
Q08J23	Q00403
Q08J23	Q53GS9
Q08J23	P07947
Q08J23	P49674
Q9BV20	Q9BV57
Q9UBP6	P55769
Q9UBP6	P27695
Q9UBP6	O43399
Q9UBP6	Q99598
Q9UBP6	Q9H2U2
Q9UBP6	P57081
Q9UBP6	Q96FX7
Q9UBP6	Q8WUR7
Q9NZL9	O14980
Q9NZL9	P49903
Q9NZL9	Q13630
Q9NZL9	O60547
Q9NZL9	Q14376
Q9NZL9	P31153
Q6P2E9	P17844
O75962	P61586
O75962	P49593
O75962	Q9NP77
O75962	Q96AT9
O75962	Q9UL16
P42285	Q5JTH9
P42285	P16989
P42285	P67809
P42285	P11940
P42285	Q9NVX2
P42285	Q15397
P42285	Q9UJA5
P42285	Q13310
P42285	P18858
P42285	Q8IV38
P42285	P17844
P42285	O43143
P42285	P46087
P42285	Q04637
P42285	P55060
P42285	Q9BU89
P42285	Q9UMQ6
P42285	Q9UK59
P42285	Q7Z2Z2
P42285	Q92620
P42285	P38919
P42285	Q99661
P42285	Q13309
P42285	O15372
P42285	Q96FX7
P42285	P17812
P42285	Q01780
P42285	Q15050
Q9P0K7	Q9H2D6
Q96T60	Q96C86
Q96T60	Q9Y3A5
Q96EA4	P46782
Q96EA4	O00487
Q96EA4	Q04323
Q96EA4	P12081
Q96PE3	O95714
P25789	P26368
P25789	Q9NQT4
P25789	Q9NZZ3
P25789	Q86YB8
P25789	P62195
P25789	Q16401
P25789	P48556
P25789	P62333
P25789	P25788
P25789	P62191
P25789	P28074
P25789	P60900
P25789	O14818
P25789	P51665
P25789	P25787
P25789	ENSG00000108294
P25789	O43242
P25789	O00487
P25789	Q9Y5K5
P25789	Q9BZH6
P25789	P49721
P25789	Q9UBT2
P25789	Q969U7
P25789	P25786
P25789	Q16186
P25789	P62826
P25789	Q9Y244
P25789	P82933
P25789	Q99436
P25789	P28072
P25789	P28066
P25789	Q8TAA3
P25789	Q8N163
P25789	P55036
P25789	P28070
P25789	P35998
P25789	Q15008
P25789	Q0PNE2
P25789	P55072
P25789	P17980
P25789	P23284
P25789	Q99460
P25789	Q13200
P25789	Q9NPD3
P25789	O43592
P25789	Q9UNM6
P25789	O00232
P25789	O43681
P25789	P28062
P25789	P56537
Q9NUW8	Q92805
Q9NUW8	P55072
Q9NVC6	Q9NX70
Q9NVC6	Q96RN5
Q9NVC6	Q9UHV7
Q9NVC6	Q9H944
Q9NVC6	Q15648
Q9NVC6	Q9BUE0
Q9NVC6	Q9BTT4
Q9NVC6	O75586
Q9NVC6	Q9NPJ6
Q9NVC6	Q15528
Q9NVC6	J3KR33
Q9NVC6	Q96G25
Q9NVC6	Q6P2C8
Q9NVC6	Q9P086
Q9NVC6	Q9Y2X0
Q9NVC6	O60244
Q9NVC6	Q93074
P40121	Q96EP5
P40121	O00625
P40121	P38117
P40121	O60493
P40121	P30041
P40121	P61960
P40121	Q9Y3C8
P40121	P55263
P40121	Q96AE4
P40121	P29401
P40121	P23528
P40121	P50238
P40121	P14174
P53680	Q96CW1
P53680	O94973
P53680	O95782
Q96GG9	Q92890
Q96GG9	P28482
Q96GG9	Q15436
Q96GG9	Q05048
Q96GG9	Q15437
Q96GG9	P27361
Q96GG9	Q7Z3J2
Q96GG9	Q9H4A6
Q96GG9	Q14376
Q96GG9	P61758
Q96GG9	Q86Y56
Q96GG9	Q96QU8
P35221	P35222
P35221	P14923
P35221	Q14172
P11021	P27816
P11021	O60884
P11021	Q9Y3B8
P11021	P31689
P11021	Q9UBS4
P11021	Q9NPF4
P11021	Q9NVM6
P11021	Q99543
P11021	P11142
P11021	P53999
P11021	O43390
P11021	O75937
P11021	Q08211
P11021	P10599
P11021	Q9NYL9
P11021	Q96S82
P11021	Q8WW22
P11021	Q00839
P11021	Q9UKS6
P11021	P14625
P11021	Q99615
P11021	P31948
P11021	P31947
P11021	Q9Y230
P11021	Q8WXX5
Q9H6S0	P78417
Q9UI12	P60953
Q9UI12	Q99714
Q9UI12	Q9Y5K8
Q9UI12	P38606
Q9UI12	P16949
Q9UI12	Q16864
Q9UI12	P36543
Q9UI12	Q9H993
Q9UI12	P21281
