IDa	IDb
P62875	Q8NEX9
P62875	P19387
P62875	Q9UHW5
P62875	O75342
P62875	Q9BT43
P62875	Q8IW75
P62875	Q15517
P62875	Q6P4A8
P62875	Q9UIV8
P62875	P05120
P62875	Q6ZVX7
P62875	Q9H9Y4
P62875	Q9Y5B0
P62875	Q9Y2S0
P62875	P61218
P62875	Q9Y2Y1
P62875	O00308
P63220	O60361
P63220	P08865
P62857	P23396
P62857	Q8IYQ7
P62857	P62899
P62857	P84098
UNKNOWN	Q9BQ51
O60613	P02766
O60613	O75635
O60613	P05089
O60613	Q8IW75
O60613	Q9UI42
O60613	Q8NEX9
O60613	P05120
O60613	P50452
O60613	Q6P4A8
O60613	P01009
O60613	P68871
P50502	Q99435
Q9UDW1	P14927
Q9UDW1	P22695
Q9UDW1	O14548
Q9UDW1	P47985
Q9UDW1	P08574
Q9UDW1	P31930
Q9UDW1	Q9H7Z7
Q9UDW1	O14949
Q9UDW1	Q9NRK6
Q9UDW1	P00156
Q9UDW1	P07919
Q9UDW1	P14854
Q9UDW1	O43657
Q96IX5	P40855
Q96GX8	P48454
Q96GX8	Q7Z7L7
Q96GX8	Q9Y2M5
Q96GX8	Q96SZ5
Q14061	Q6DKK2
Q14061	P51687
UNKNOWN	P09669
UNKNOWN	P22695
UNKNOWN	O14548
UNKNOWN	P13073
UNKNOWN	Q92614
UNKNOWN	P55061
UNKNOWN	P10606
UNKNOWN	P14854
UNKNOWN	P00403
UNKNOWN	P14927
UNKNOWN	P00395
UNKNOWN	Q15828
UNKNOWN	O75635
UNKNOWN	P22735
UNKNOWN	Q8NBM8
UNKNOWN	O60911
UNKNOWN	Q9P0I2
UNKNOWN	Q9H1E1
UNKNOWN	Q8WVV4
UNKNOWN	Q9UHN6
UNKNOWN	O75342
UNKNOWN	Q15517
UNKNOWN	Q9NZH6
UNKNOWN	Q9NPA0
UNKNOWN	Q5J8M3
UNKNOWN	Q6UWW8
UNKNOWN	O43402
UNKNOWN	Q9NQP4
UNKNOWN	Q9UHV9
UNKNOWN	Q9NY47
UNKNOWN	P54289
