Human Herpes
Q14195 Herpes_target
Q14493 Herpes_target
Q14517 Herpes_target
Q14681 Herpes_target
Q14694 Herpes_target
Q15014 Herpes_target
Q15042 Herpes_target
Q15155 Herpes_target
Q15349 Herpes_target
Q15386 Herpes_target
Q15418 Herpes_target
Q15435 Herpes_target
Q1ED39 Herpes_target
Q2NKX8 Herpes_target
Q30KQ2 Herpes_target
Q4G0N4 Herpes_target
Q4KMP7 Herpes_target
Q53GT1 Herpes_target
Q5JV73 Herpes_target
Q5QP82 Herpes_target
Q5SY16 Herpes_target
Q5T0T0 Herpes_target
Q5T2T1 Herpes_target
Q5T447 Herpes_target
Q5UCC4 Herpes_target
Q5VT98 Herpes_target
Q66PJ3 Herpes_target
Q66PJ3 Herpes_target
Q68D85 Herpes_target
Q6GYQ0 Herpes_target
Q6IAA8 Herpes_target
Q6P587 Herpes_target
Q6PD62 Herpes_target
Q6PD62 Herpes_target
Q6UN15 Herpes_target
Q6VN20 Herpes_target
Q6YHU6 Herpes_target
Q6ZN17 Herpes_target
Q6ZSJ8 Herpes_target
Q709F0 Herpes_target
Q7KZN9 Herpes_target
Q7KZN9 Herpes_target
Q7L0Y3 Herpes_target
Q7L1Q6 Herpes_target
Q7L5Y9 Herpes_target
Q7L7X3 Herpes_target
Q7Z478 Herpes_target
Q7Z4Q2 Herpes_target
Q7Z5N4 Herpes_target
Q7Z6M1 Herpes_target
Q7Z7L7 Herpes_target
Q86T65 Herpes_target
Q86TM6 Herpes_target
Q86U28 Herpes_target
Q86XK2 Herpes_target
Q86YS7 Herpes_target
Q8IUR7 Herpes_target
Q8IV63 Herpes_target
Q8IVS2 Herpes_target
Q8IVS2 Herpes_target
Q8IVV7 Herpes_target
Q8IX15 Herpes_target
Q8IXW5 Herpes_target
Q8IYB3 Herpes_target
Q8IZ52 Herpes_target
Q8IZL8 Herpes_target
Q8IZT6 Herpes_target
Q8N1B4 Herpes_target
Q8N3Y7 Herpes_target
Q8N4L2 Herpes_target
Q8N567 Herpes_target
Q8N5P1 Herpes_target
Q8N5Z5 Herpes_target
Q8N878 Herpes_target
Q8N8A2 Herpes_target
Q8N8J7 Herpes_target
Q8N9R8 Herpes_target
Q8NB46 Herpes_target
Q8NB49 Herpes_target
Q8NC60 Herpes_target
Q8NDF8 Herpes_target
Q8NG31 Herpes_target
