IDa	IDb
Q6PD62	O75110
Q6PD62	O95084
Q6PD62	P08651
Q6PD62	P11413
Q6PD62	P19387
Q6PD62	P24928
Q6PD62	P25098
Q6PD62	P34897
Q6PD62	P41208
Q6PD62	P43353
Q6PD62	P50750
Q6PD62	P54278
Q6PD62	P55199
Q6PD62	P62487
Q6PD62	P78345
Q6PD62	Q01167
Q6PD62	Q14241
Q6PD62	Q3B820
Q6PD62	Q562R1
Q6PD62	Q5JTD0
Q6PD62	Q9NR19
Q6PD62	Q5T1M5
Q6PD62	Q5VT52
Q6PD62	Q6P1J9
Q6PD62	Q6PD62
Q6PD62	Q6ZV73
Q6PD62	Q7KZ85
Q6PD62	Q8N7H5
Q6PD62	Q8WVC0
Q6PD62	Q8WYQ5
Q6PD62	Q92545
Q6PD62	Q969X5
Q6PD62	Q96JP5
Q6PD62	Q96QC0
Q6PD62	Q96ST2
Q6PD62	Q9BPZ7
Q6PD62	Q9BXK1
Q6PD62	Q9BYT9
Q6PD62	Q9GZM8
Q6PD62	Q9GZS3
Q6PD62	Q9H2K8
Q6PD62	Q9UHB7
Q6PD62	Q9Y697
Q8WVC0	O14519
Q8WVC0	Q03252
Q8WVC0	O00267
Q8WVC0	O43488
Q8WVC0	P19387
Q8WVC0	P62487
Q8WVC0	Q14241
Q8WVC0	Q53H47
Q8WVC0	Q5VT52
Q8WVC0	Q6P1J9
Q8WVC0	Q6PD62
Q8WVC0	Q8N7H5
Q8WVC0	Q8WVC0
Q8WVC0	Q969P6
Q8WVC0	Q9GZS3
Q9UPN4	Q969T9
Q9UPN4	Q92552
Q9UPN4	E7ETA6
Q9UPN4	Q96KV7
Q9UPN4	Q6EMB2
Q9UPN4	O60762
Q9UPN4	Q96NB1
Q9UPN4	Q5T9S5
Q9UPN4	P18859
Q9UPN4	O43488
Q9UPN4	O75665
Q9UPN4	O95684
Q9UPN4	P49756
Q9UPN4	Q02750
Q9UPN4	Q15154
Q9UPN4	Q1MSJ5
Q9UPN4	Q2KHM9
Q9UPN4	Q4AC94
Q9UPN4	Q5VT06
Q9UPN4	Q7L804
Q9UPN4	Q7Z4Q2
Q9UPN4	Q86T90
Q9UPN4	Q86YT6
Q9UPN4	Q8IUZ5
Q9UPN4	Q8IWF2
Q9UPN4	Q8N4C6
Q9UPN4	Q8WXW3
Q9UPN4	Q969M3
Q9UPN4	Q96DN5
Q9UPN4	Q96M89
Q9UPN4	Q96RK4
Q9UPN4	Q9BR77
Q9UPN4	Q9C0D2
Q9UPN4	Q9H0U6
Q9UPN4	Q9H5Q4
Q9UPN4	Q9HCM4
Q9UPN4	Q9P209
Q9UPN4	Q9UGU5
Q9UPN4	Q9UHA2
Q9UPN4	Q9UPN4
Q9UPN4	Q9Y2D8
Q9UPN4	Q9Y3B7
Q9UPN4	Q9Y6R9
Q5FBB7	Q15369
Q5FBB7	Q9NRR4
Q5FBB7	Q9H5H4
Q5FBB7	O75376
Q5FBB7	O75923
Q5FBB7	P30837
Q5FBB7	P48059
Q5FBB7	P53634
Q5FBB7	Q01105
Q5FBB7	Q06609
Q5FBB7	Q13011
Q5FBB7	Q5FBB7
Q5FBB7	Q7KZ85
Q5FBB7	Q86WJ1
Q5FBB7	Q8IWV8
Q5FBB7	Q8N4N3
Q5FBB7	Q8TDY2
Q5FBB7	Q8WYB5
Q5FBB7	Q99661
Q5FBB7	D6RD18
Q5FBB7	Q9H6R7
Q5FBB7	Q9P2X3
Q5FBB7	Q9UBC3
Q5FBB7	Q9UHV9
Q5FBB7	Q9UPZ3
Q5FBB7	Q9UQN3
P08621	Q9UH17
P08621	P62318
P08621	Q9Y3F4
P08621	C9JHH8
P08621	Q16637
P08621	O14893
P08621	P07384
P08621	P08621
P08621	P09234
P08621	P10599
P08621	P14678
P08621	P57678
P08621	P62306
P08621	P62308
P08621	P62314
P08621	P62316
P08621	P83369
P08621	Q5VT52
P08621	Q6P5Z2
P08621	Q8TEQ6
P08621	Q8WXD5
P08621	Q92804
P08621	Q96F45
P08621	Q96GM8
P08621	Q9H814
P08621	Q9H840
P08621	Q9NWZ8
P08621	Q9P2G9
P08621	Q9UHI6
P08621	Q9ULW3
Q9BW19	P40121
Q9BW19	P04083
Q9BW19	P46060
Q9BW19	Q14974
Q9BW19	Q92974
Q9BW19	Q6FI81
Q9BW19	Q96JN0
Q9NZM3	Q9Y262
Q9NZM3	O15372
Q9NZM3	O00303
Q9NZM3	Q99613
Q9NZM3	H7C0N4
Q9NZM3	O75821
Q9NZM3	P07108
Q9NZM3	P19784
Q9NZM3	P34897
Q9NZM3	P55884
Q9NZM3	P60228
Q9NZM3	Q08378
Q9NZM3	Q13347
Q9NZM3	Q14152
