"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Alias","ENTREZID","GO","Path","Evidance","PMID","UNIPROT","ENSEMBL","Symbol"
"CAPN1",11390.9900188153,-0.444379135695649,0.20480663833218,-2.16974966883105,0.0300258151164377,0.073553118971014,NA,"823",NA,NA,NA,NA,NA,"ENSG00000014216","CAPN1"
"ZNF676",1.87232549914108,-2.07641164717423,0.957037930145663,-2.16962314843488,0.0300354062839454,0.0735670698473807,"ZNF676","163223",NA,NA,NA,NA,"Q8N7Q3",NA,"ZNF676"
"GABBR2",16.1346034613819,1.66134803089172,0.765874009771173,2.16921844806836,0.0300661032041419,0.0736242386544955,NA,"9568",NA,"04080",NA,NA,NA,"ENSG00000136928","GABBR2"
"THPO",6.30247282402721,-1.22808432921938,0.566142901366231,-2.16921262503818,0.030066545083403,0.0736242386544955,NA,"7066",NA,"04640",NA,NA,NA,"ENSG00000090534","THPO"
"PLEKHG7",24.2610591555988,1.38873694513386,0.640249610187312,2.1690555105962,0.0300784697826815,0.073643888282753,NA,"440107",NA,NA,NA,NA,"Q32Q52","ENSG00000187510","PLEKHG7"
"UROC1",0.926437363605327,-2.15039042997034,0.99193860042441,-2.16786646779375,0.0301688478147128,0.0738555924332176,NA,"131669",NA,NA,NA,NA,"Q96N76","ENSG00000159650","UROC1"
"ERVMER34-1",287.232441826468,-0.854408799536872,0.394267639865933,-2.16707818026203,0.0302288933692633,0.0739841509616831,NA,"100288413",NA,NA,"IEA",NA,"Q9H9K5","ENSG00000226887","ERVMER34-1"
"RCVRN",4.0762476059665,-1.54146864613626,0.711313281826903,-2.16707417887266,0.030229198425452,0.0739841509616831,NA,"5957",NA,"04744",NA,NA,"P35243","ENSG00000109047","RCVRN"
"XPNPEP3",698.11368210199,-0.28326548916756,0.130719454007745,-2.16697270745008,0.0302369352439418,0.0739934954997549,NA,"63929",NA,NA,NA,NA,NA,"ENSG00000196236","XPNPEP3"
"C19orf48",2724.52473502313,0.391086044345764,0.180481506220109,2.16690370407708,0.0302421974663144,0.0739967827600038,NA,"84798",NA,NA,NA,NA,NA,"ENSG00000167747","C19orf48"
"GALNTL1",38.616457681426,1.12801444570732,0.520599766586104,2.16675941501935,0.0302532035455698,0.074014121449527,NA,NA,NA,NA,NA,NA,NA,NA,"GALNTL1"
"HLA-B",62817.8329338716,-0.659827176016501,0.304533716753724,-2.16668020556195,0.0302592469468754,0.0740193160838064,NA,"3106",NA,NA,NA,NA,NA,NA,"HLA-B"
"SLC18A3",21.7392939903389,2.32896150772403,1.07500807013865,2.1664595572977,0.0302760870982613,0.0740509166566542,NA,"6572",NA,NA,NA,NA,"Q16572","ENSG00000187714","SLC18A3"
"HTRA2",782.438549509328,-0.289782653009885,0.133764189346175,-2.16636944780447,0.0302829666828628,0.0740581500978909,NA,"27429",NA,"05012",NA,NA,"O43464","ENSG00000115317","HTRA2"
"EPCAM",3128.61311698051,-0.891068367318088,0.4113675045983,-2.16611267870615,0.0303025775864373,0.0740965125598432,NA,"4072",NA,NA,NA,NA,"P16422","ENSG00000119888","EPCAM"
"KRT76",7.82093526980109,-2.47697396617307,1.14361148534141,-2.1659226038934,0.030317101698768,0.0741151581259974,NA,"51350",NA,NA,NA,NA,"Q01546","ENSG00000185069","KRT76"
"L3MBTL3",257.40563912826,-0.507958714353294,0.234524370016385,-2.16591015389064,0.0303180532446353,0.0741151581259974,NA,"84456",NA,NA,NA,NA,"Q96JM7","ENSG00000198945","L3MBTL3"
"ATP6V0E1",4822.70376459502,-0.36362339874327,0.167891505393813,-2.16582368411279,0.0303246627832944,0.0741217194400212,NA,"8992",NA,NA,NA,NA,"O15342","ENSG00000113732","ATP6V0E1"
"CREB3",911.609336017078,-0.396303498879653,0.183054792461722,-2.16494467885905,0.030391922084312,0.0742765043743178,NA,"10488",NA,NA,NA,NA,"O43889","ENSG00000107175","CREB3"
"IL12B",13.5469909375565,1.24673825699524,0.57595638971771,2.16464003048268,0.0304152629085207,0.074323928334242,NA,"3593",NA,NA,NA,NA,"P29460","ENSG00000113302","IL12B"
"ALX1",30.6168778861093,1.79145347451712,0.827829908134199,2.1640356997427,0.0304616096569527,0.074427550924247,NA,"8092",NA,NA,NA,NA,NA,"ENSG00000180318","ALX1"
"SDF4",4244.11623291015,-0.253120908045523,0.116975655013409,-2.16387681707366,0.0304738045993268,0.0744477136038929,NA,"51150",NA,NA,NA,NA,NA,"ENSG00000078808","SDF4"
"LOC100132832",123.739568071206,0.498739067706967,0.230598622164241,2.16280159450279,0.0305564429219144,0.0746385613607312,NA,NA,NA,NA,NA,NA,NA,NA,"LOC100132832"
"DKFZp434J0226",113.900975480558,-1.46684496651512,0.678229028139606,-2.16275757252488,0.0305598304141411,0.0746385613607312,NA,NA,NA,NA,NA,NA,NA,NA,"DKFZp434J0226"
"SVOP",1.24344312967668,-1.93384895955532,0.894252553007647,-2.16253110270828,0.0305772623700042,0.0746653637363049,"SVOP","55530",NA,NA,NA,NA,"Q8N4V2","ENSG00000166111","SVOP"
"SRRM3",409.330782689849,-1.1254540271111,0.520438217478388,-2.16251226238557,0.030578712942106,0.0746653637363049,"SRRM3","222183","GO:0003729",NA,"IBA",NA,"A0A087WXA3","ENSG00000177679","SRRM3"
"C2orf29",2112.30510679109,-0.254752133002586,0.117812177916557,-2.16235823416336,0.030590574246809,0.0746846680796804,NA,NA,NA,NA,NA,NA,NA,NA,"C2orf29"
"TAGAP",384.830989686746,1.122603709575,0.51920997509303,2.16213817805379,0.0306075270391428,0.0747163963223133,NA,"117289",NA,NA,NA,NA,"Q8N103","ENSG00000164691","TAGAP"
"RANGRF",355.528849530594,-0.387789791984503,0.179363252389202,-2.16203590656928,0.0306154086266983,0.0747259753993429,NA,"29098",NA,NA,NA,NA,"Q9HD47","ENSG00000108961","RANGRF"
"EXOC3",1816.48292047192,-0.295915582628636,0.136876591494575,-2.16191519234584,0.030624713753095,0.0747390261194184,NA,"11336",NA,"04530",NA,NA,NA,"ENSG00000180104","EXOC3"
"MPP2",135.857324776219,1.14084924183462,0.527838300964586,2.16136123458605,0.0306674461460284,0.0748327296885592,NA,"4355",NA,NA,NA,NA,NA,"ENSG00000108852","MPP2"
"BIK",477.515379318713,-0.777618126428789,0.359789397953323,-2.16131473259719,0.0306710356455757,0.0748327296885592,NA,"638",NA,NA,NA,NA,NA,"ENSG00000100290","BIK"
"KLRC3",13.6214885786488,1.36163453499612,0.630109263621781,2.16094987585111,0.0306992115468988,0.074891797471388,NA,"3823",NA,NA,NA,NA,"Q07444","ENSG00000205810","KLRC3"
"CILP",83.0597115192466,-1.29236680087807,0.598074012540346,-2.16088105114062,0.0307045289958736,0.0748950932050234,NA,"8483",NA,NA,NA,NA,"O75339","ENSG00000138615","CILP"
"GTF3C5",2738.18094979606,0.439349933289314,0.203325672976392,2.16081878327449,0.0307093405395627,0.0748971542325011,NA,"9328",NA,NA,NA,NA,NA,"ENSG00000148308","GTF3C5"
"PHF2P1",4.0826138607433,-2.99546934495019,1.38629963328453,-2.16076616701765,0.030713406791702,0.0748973972673276,"PHF2P1","266695",NA,NA,NA,NA,NA,NA,"PHF2P1"
"TMEM42",312.096113744768,0.299388680106803,0.138572767503233,2.16051599099237,0.0307327470431619,0.0749348824469246,"TMEM42","131616",NA,NA,NA,NA,"Q69YG0",NA,"TMEM42"
"KIF2C",2023.91189263683,0.479579953015648,0.222015730192555,2.16011699981666,0.0307636133221198,0.075000457940383,NA,"11004",NA,NA,NA,NA,NA,"ENSG00000142945","KIF2C"
"FAM86C2P",138.181233724268,-0.380758461778706,0.176285265437866,-2.15989952894224,0.0307804482494215,0.0750318130448717,"FAM86C2P","645332",NA,NA,"IEA",NA,NA,"ENSG00000160172","FAM86C2P"
"ATP5B",21056.7034313283,-0.332768594041416,0.154075365913561,-2.15977805451461,0.030789855310774,0.0750450558897682,NA,NA,NA,NA,NA,NA,NA,NA,"ATP5B"
"RFX3",73.9307292500559,0.607294664875636,0.281209998876307,2.15957706803576,0.0308054252596999,0.0750733143719223,"RFX3","5991",NA,NA,NA,NA,"P48380","ENSG00000080298","RFX3"
"SLC26A1",57.6894821886049,0.791771528572014,0.366660603469222,2.15941260413727,0.0308181709189418,0.0750946836096864,NA,"10861",NA,NA,NA,NA,"Q9H2B4","ENSG00000145217","SLC26A1"
