Human Influenza
Q6PI77 Influenza_target
Q6PI77 Influenza_target
Q8N4C6 Influenza_target
Q8NC69 Influenza_target
Q8TD31 Influenza_target
Q96MW5 Influenza_target
Q96RT1 Influenza_target
Q96SI9 Influenza_target
Q9BSY4 Influenza_target
Q9C099 Influenza_target
Q9H1D9 Influenza_target
Q9H1D9 Influenza_target
Q9H3R5 Influenza_target
Q9NS73 Influenza_target
Q9NX74 Influenza_target
Q9NY93 Influenza_target
Q9NYF8 Influenza_target
Q9UBW7 Influenza_target
Q9UBW7 Influenza_target
Q9Y244 Influenza_target
Q9Y6N6 Influenza_target
Q9Y6X2 Influenza_target
P04637 Influenza_target
P52294 Influenza_target
P52292 Influenza_target
P52292 Influenza_target
O43707 Influenza_target
O43707 Influenza_target
O60684 Influenza_target
P52294 Influenza_target
P52292 Influenza_target
Q9Y224 Influenza_target
P62820 Influenza_target
Q04637 Influenza_target
P06396 Influenza_target
P06730 Influenza_target
P78527 Influenza_target
P78527 Influenza_target
P78527 Influenza_target
P78527 Influenza_target
P78527 Influenza_target
P35232 Influenza_target
P35232 Influenza_target
P19525 Influenza_target
P53618 Influenza_target
P53618 Influenza_target
P53618 Influenza_target
P53618 Influenza_target
P45984 Influenza_target
P45984 Influenza_target
P45984 Influenza_target
P02786 Influenza_target
P02786 Influenza_target
P51665 Influenza_target
P33992 Influenza_target
P07900 Influenza_target
P07900 Influenza_target
P07900 Influenza_target
P35606 Influenza_target
P35606 Influenza_target
P35606 Influenza_target
P35606 Influenza_target
O60684 Influenza_target
P63279 Influenza_target
P63279 Influenza_target
P01857 Influenza_target
P33176 Influenza_target
P33176 Influenza_target
P33176 Influenza_target
P63000 Influenza_target
P52294 Influenza_target
P52294 Influenza_target
P52294 Influenza_target
P52294 Influenza_target
P52294 Influenza_target
Q92973 Influenza_target
Q15370 Influenza_target
P60709 Influenza_target
P60842 Influenza_target
Q12906 Influenza_target
Q12906 Influenza_target
Q12906 Influenza_target
P07910 Influenza_target
P35637 Influenza_target
P35637 Influenza_target
P35637 Influenza_target
P35637 Influenza_target
Q9Y676 Influenza_target
Q9Y676 Influenza_target
Q9Y676 Influenza_target
Q9Y676 Influenza_target
P07737 Influenza_target
P60953 Influenza_target
P35580 Influenza_target
Q14152 Influenza_target
