Ensemble	H112	H122	H132	H111	H121	H131	H211	H221	H231	H212	H222	H232	H113	H123	H133	H213	H223	H233
ENSG00000006534	2294	252	30	1904	258	51	889	302	123	1320	320	120	7135	176	2	721	209	86
ENSG00000006555	0	0	1	0	1	3	0	0	0	0	0	1	0	1	0	1	0	3
ENSG00000006576	3235	578	113	2610	429	211	1216	726	409	2417	704	493	10018	483	8	1525	690	397
ENSG00000006606	3	4	0	1	4	0	4	3	0	1	0	0	6	2	0	5	0	0
ENSG00000006607	2019	1227	240	1702	1034	353	583	1204	816	1077	1137	876	6106	920	24	646	897	825
ENSG00000006611	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000006625	614	236	12	503	156	42	218	184	92	484	127	98	1820	155	2	331	110	84
ENSG00000006634	382	294	29	318	272	73	167	254	148	378	247	149	1189	258	2	253	246	117
ENSG00000006638	34	52	8	51	51	12	31	21	16	52	18	10	162	32	3	22	13	9
ENSG00000006652	1859	1486	520	1644	1140	807	741	1115	1667	1546	1012	1726	5838	1186	36	889	872	1531
ENSG00000006659	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	364	193	31	356	139	48	195	165	91	294	143	95	1217	147	0	179	90	80
ENSG00000006704	956	504	96	823	413	127	510	348	155	868	320	200	2911	364	10	558	269	202
ENSG00000006712	1497	499	96	1295	403	162	887	556	304	1563	511	374	4767	372	8	870	377	317
ENSG00000006715	3357	543	81	2758	456	127	1622	612	355	3263	542	393	10146	391	9	1921	461	329
ENSG00000006740	35	37	10	30	24	13	33	40	22	82	34	25	135	23	0	50	19	33
ENSG00000006744	2075	1133	142	1805	907	267	1138	832	537	1751	871	619	6207	872	10	959	635	518
ENSG00000006747	221	29	2	202	23	13	0	5	12	0	3	12	776	26	0	0	5	11
ENSG00000006756	810	128	8	628	80	10	506	136	80	811	154	82	2406	81	1	472	101	68
ENSG00000006757	237	16	1	190	24	6	133	39	13	259	39	18	719	17	0	113	27	16
ENSG00000006788	9	0	0	2	0	0	2	0	1	2	0	1	20	0	0	10	0	1
ENSG00000006831	2223	368	34	1859	298	66	887	339	104	1678	305	112	6838	310	5	1064	258	108
ENSG00000006837	30	8	6	23	9	5	17	14	9	37	6	7	86	13	0	23	6	4
ENSG00000007001	0	2	2	0	1	2	2	0	0	0	0	0	6	2	0	0	1	2
ENSG00000007038	4	2	1	3	3	3	0	0	0	0	1	1	16	3	0	0	0	1
ENSG00000007047	583	158	44	528	136	77	451	287	148	728	259	167	1834	141	3	430	209	165
ENSG00000007062	1	0	7	2	0	6	1	0	4	0	0	2	8	0	0	2	1	1
ENSG00000007080	720	143	24	666	160	27	469	214	93	724	188	96	2316	141	1	368	154	92
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	7053	839	67	5998	672	146	2750	1016	346	5315	938	363	22222	707	10	3180	762	328
ENSG00000007171	1	1	0	0	0	0	3	0	1	3	0	1	1	1	0	0	0	0
ENSG00000007174	0	2	0	2	2	0	1	3	1	2	2	2	3	1	0	0	1	0
ENSG00000007202	5957	1277	136	5031	1035	228	3189	1681	707	5728	1631	810	18593	979	9	3220	1090	701
ENSG00000007216	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000007237	163	56	17	156	47	26	523	234	102	957	209	150	560	36	1	497	159	148
ENSG00000007255	143	25	3	134	21	4	84	14	10	158	12	15	476	16	0	77	13	12
ENSG00000007264	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	67	2	0	55	2	0	0	0	1	0	0	0	180	0	0	0	0	0
